No.,2Theta [°],d-spacing [Å],Int.,F,h,k,l,Mult.
1,11.464,7.7129,24742364.85,250.25,0,-1,-1,4
35,26.582,3.3506,18682239.47,516.7,1,3,1,4
2,11.557,7.6505,16377518.28,205.29,1,1,0,4
33,26.525,3.3577,11437951.17,403.37,0,-1,-3,4
3,11.809,7.4881,8555027.6,214.45,-1,0,1,2
39,27.259,3.269,8216553.68,497.67,3,0,1,2
37,26.9,3.3117,7686459.69,335.62,3,1,0,4
4,12.08,7.3204,7310920.69,202.86,1,0,1,2
29,25.072,3.5489,6982025.84,296.98,0,3,1,4
40,27.721,3.2155,6805962.26,326.04,-1,1,3,4
9,17.052,5.1955,5856477.58,257.91,2,0,0,2
34,26.555,3.354,5006817.72,377.87,-1,0,3,2
96,37.605,2.39,4943528.26,386.44,0,2,4,4
59,31.591,2.8298,4940086.93,319.47,3,2,1,4
31,25.56,3.4823,4731963.13,249.49,2,1,2,4
66,33.873,2.6443,4320933.2,322.21,-1,-4,1,4
13,18.782,4.7209,4196946.9,170.49,2,1,0,4
10,17.787,4.9825,3854804.59,154.5,0,2,1,4
24,24.468,3.6352,3738465.83,211.8,-1,2,2,4
81,35.951,2.496,3672528.73,448.31,-3,0,3,2
42,28.082,3.175,3565455.69,239.25,1,1,3,4
28,25.034,3.5542,3519395.54,210.5,-2,-1,2,4
54,30.978,2.8845,3307021.43,255.92,-1,2,3,4
25,24.603,3.6155,3215559.14,197.57,-2,-2,1,4
82,36.022,2.4913,3138236.69,293.68,0,4,2,4
92,36.986,2.4285,3067486.62,298.9,-1,4,2,4
44,28.573,3.1215,3040043,225.04,-2,-2,2,4
116,39.934,2.2558,2882124.29,315.37,-2,-4,2,4
100,38.241,2.3517,2837787.36,421.81,-4,0,2,2
79,35.8,2.5062,2674695.47,269.29,-1,1,4,4
50,30.257,2.9515,2574446.46,220.17,-1,3,2,4
7,15.664,5.6528,2456625.65,153.14,0,2,0,2
8,16.795,5.2746,2358935.82,161.15,0,0,2,2
68,33.973,2.6367,2279344.14,234.78,1,4,1,4
17,20.435,4.3425,2153823.8,133.25,-2,-1,1,4
89,36.656,2.4496,2105564.98,245.2,4,1,1,4
51,30.369,2.9409,2080214.74,198.69,-2,-3,1,4
75,34.917,2.5675,1999753.41,226.57,2,2,3,4
36,26.888,3.3132,1989005.45,241.33,-3,0,1,2
58,31.561,2.8325,1948703.54,200.44,-3,-1,2,4
12,18.548,4.78,1937422.54,114.35,0,-1,-2,4
78,35.426,2.5318,1933274.78,226.33,4,1,0,4
107,38.94,2.3111,1838575.06,244.94,-3,-3,2,4
72,34.498,2.5978,1769232.98,297.45,4,0,0,2
19,20.755,4.2764,1621009.45,117.48,2,1,1,4
23,24.298,3.6602,1613222.28,195.33,2,0,2,2
62,32.199,2.7778,1579943.38,184.42,3,1,2,4
41,28.042,3.1794,1573602.26,158.7,-3,-1,1,4
30,25.117,3.5427,1499165.47,137.87,1,3,0,4
46,29.099,3.0663,1476887.47,159.93,0,3,2,4
43,28.398,3.1403,1470356.22,155.49,3,1,1,4
20,23.044,3.8565,1458601.61,124.25,0,2,2,4
77,35.163,2.5502,1453465.22,194.65,3,3,0,4
88,36.353,2.4694,1424014.06,199.82,3,3,1,4
85,36.15,2.4828,1406175.66,197.35,2,4,0,4
49,30.238,2.9533,1397127.88,162.08,3,2,0,4
110,39.251,2.2934,1336959.31,210.72,4,2,1,4
47,29.253,3.0505,1242373.09,147.52,2,3,0,4
67,33.965,2.6373,1206409.93,241.49,0,0,4,2
114,39.473,2.281,1166338.67,198.05,3,3,2,4
26,24.738,3.5961,1152461.21,118.96,1,2,2,4
52,30.48,2.9305,1145960.23,148.05,1,3,2,4
27,24.872,3.577,950921.33,108.68,2,2,1,4
11,17.849,4.9656,859497.27,73.21,1,2,0,4
18,20.595,4.3091,785477.02,81.12,1,1,2,4
60,31.631,2.8264,772300.59,178.88,0,4,0,2
63,32.777,2.7301,765761.96,130.89,0,4,1,4
99,38.093,2.3604,743171.07,151.98,4,2,0,4
109,39.092,2.3024,716098.38,153.53,-4,-1,2,4
97,37.683,2.3852,671240.28,142.72,3,1,3,4
83,36.067,2.4883,668176.61,135.7,-3,-3,1,4
56,31.304,2.8552,662411.58,115.84,1,2,3,4
105,38.805,2.3188,657514.79,145.91,1,2,4,4
73,34.869,2.571,638358.05,127.82,0,3,3,4
106,38.894,2.3136,626569.15,142.8,-4,-2,1,4
16,20.273,4.3768,555896,67.14,-1,1,2,4
112,39.432,2.2834,554537.89,136.4,-3,-2,3,4
86,36.182,2.4806,530310.8,121.31,1,1,4,4
61,32.023,2.7927,490143.89,102.11,2,1,3,4
111,39.326,2.2893,471583.34,125.41,2,3,3,4
76,35.081,2.5559,426703.87,105.2,3,2,2,4
95,37.266,2.4109,417814.6,111.23,2,4,1,4
57,31.381,2.8483,407081.63,91.05,-2,1,3,4
102,38.603,2.3305,388446.18,157.69,2,0,4,2
64,32.812,2.7273,333511.58,86.48,1,4,0,4
14,19.661,4.5116,321115.14,49.44,-1,-2,1,4
87,36.278,2.4743,320712.7,94.61,-4,-1,1,4
93,37.08,2.4226,274081.88,89.59,-2,-4,1,4
80,35.812,2.5054,241742.06,80.99,-1,3,3,4
22,23.745,3.7441,240205.48,73.58,-2,0,2,2
38,26.93,3.3082,226869.53,81.64,1,0,3,2
104,38.79,2.3196,203862.7,81.21,-2,3,3,4
101,38.444,2.3397,197267.97,79.1,-1,2,4,4
5,14.175,6.2429,185688.99,26.89,-1,-1,1,4
45,29.04,3.0724,178877.98,55.54,2,2,2,4
90,36.804,2.4401,162157.38,96.66,3,0,3,2
69,34.121,2.6256,161400.36,62.77,2,3,2,4
53,30.59,2.9201,145502.68,52.96,2,3,1,4
103,38.734,2.3228,131578.36,65.14,-2,1,4,4
108,38.962,2.3098,129385.91,91.95,4,0,2,2
65,33.718,2.6561,124080.75,54.33,-2,-3,2,4
55,31.268,2.8584,109939.89,47.13,-3,-2,1,4
113,39.448,2.2825,103854.55,59.06,2,1,4,4
115,39.8,2.2631,97256.18,57.72,4,1,2,4
84,36.099,2.4861,81881.28,47.55,1,3,3,4
6,14.403,6.1447,73832.12,17.23,1,1,1,4
32,26.456,3.3662,54206.24,27.69,-1,-3,1,4
71,34.489,2.5984,50301.61,35.45,-3,-2,2,4
91,36.847,2.4374,44906.9,36.02,-3,-1,3,4
15,19.828,4.4741,20056.85,12.46,1,2,1,4
21,23.235,3.8252,12644.84,11.67,2,2,0,4
94,37.173,2.4167,11853.98,18.68,1,4,2,4
70,34.324,2.6106,10888.67,16.41,-2,2,3,4
98,37.876,2.3735,9389.13,24.01,-2,0,4,2
74,34.906,2.5683,6426.07,12.84,0,-1,-4,4
48,29.901,2.9858,109.37,1.42,0,2,3,4
